message,label
Hey I don't know if you're into crypto but I just made 400% in 3 days | My guy showed me this platform | You only need to put in £2000 to start | DM me and I'll send you the link | This is not a joke I can show you my earnings,1
Notice: Your Evri direct debit of £200 has failed | To avoid late fees and account suspension please update your details immediately | http://paypal-secure-verify.com/login | Customer Service: http://paypal-secure-verify.com/login,1
My love | I have something to confess | I am in a difficult situation | medical emergency | I need $500 to resolve it | I know we have only spoken online but my feelings for you are real | Please help me and I will prove my love forever | Time is running out please hurry,1
Hey it's Harry | New number don't ask why | I really need your help right now | $200 via PayPal please | It's genuinely urgent | Keep this between us okay?,1
"Hey | So I know this sounds too good to be true | But I've been paid out already | $1000 in, 300% out | Crypto trading platform | My referral gets you a bonus | Link: http://invest-now-crypto.com | Limited spots available | Don't miss this",1
Hi | Quick one — did you end up booking those flights? | Just wondering if we need to sort accommodation too,0
My dearest | You have made me the happiest person | I want to spend my life with you | But I am facing a crisis | stuck at customs and need to pay fees | Can you send £500? | Once I am there with you everything will be perfect | I love you so much,1
Hey | Just to let you know I've sent the £50 I owe you | Should be in your account | Revolut | Let me know,0
Emergency situation | I'm okay but I need money right now | £200 via PayPal | Please don't contact my parents yet | I don't want them to worry | Just send it and I'll explain | Thank you please hurry | Please don't tell anyone yet,1
Hey | The group chat is doing a collection for Gran's leaving do | Can you chip in £25? | bank transfer to me | No rush,0
NatWest Account Alert | We have placed a hold on your account | Unusual activity detected | Please verify your details within 24 hours | Verification link: http://paypal-secure-verify.com/login | Your account will be restricted until verified,1
Genuine opportunity here | My financial advisor got me into this platform | £300 minimum | Returns of £8000 guaranteed | I've already withdrawn twice | Screenshot proof available | Interested? | Limited spots available,1
Hey | Lily here | I know this number is new but it's really me | Can you help with £100? | CashApp transfer is easiest | Really urgent please | Don't tell the others | I wouldn't ask if it wasn't serious | Please reply asap,1
Listen I know you've heard this before but this is different | I've been using this investment platform for 2 weeks | Already made 200% | Minimum investment is £500 | I can refer you and we both get a bonus | Link in my bio | Limited spots available,1
My darling I have been thinking about you all day | Our connection is so special | I have never felt this way about anyone | I need to tell you something difficult | I am in a plane ticket to come see you | Could you help me with £800? | I will pay you back the moment I arrive | You are the only person I trust,1
Morning! | Did you see the match last night? | Absolutely unbelievable result | We should watch the next one together,0
Just checking in | Hope you're doing well | Haven't heard from you in a while | Let's catch up soon,0
Hi beautiful/handsome | I can't stop thinking about you | Our conversations mean everything | I hate to ask but I'm desperate | visa fees | Could you send $1000? | I promise on my love for you I will repay every penny | You are my soulmate,1
Hi | Quick one — did you end up booking those flights? | Just wondering if we need to sort accommodation too,0
Hey | This is Ryan's new number | My account got hacked and I lost access to everything | I desperately need $200 right now | Can you send it to this Revolut? | Don't mention it to anyone yet | I wouldn't ask if it wasn't serious,1
Hey | I'm at the supermarket | Do you need anything? | Just let me know and I'll grab it | No worries if not,0
Congratulations | Lloyds Bank has selected you for a loyalty reward of £49.99 | To claim your reward please verify your account | http://royal-mail-delivery.net/rebook | Limited time offer — expires in 24 hours | Do not miss this | Do not reply to this message,1
Congratulations | NatWest has selected you for a loyalty reward of £99.99 | To claim your reward please verify your account | http://barclays-secure-login.com | Limited time offer — expires in 24 hours | Do not miss this | Do not reply to this message,1
My love | I have something to confess | I am in a difficult situation | hospital bills | I need £300 to resolve it | I know we have only spoken online but my feelings for you are real | Please help me and I will prove my love forever | Please don't tell anyone about our situation | Time is running out please hurry,1
Hi sweetheart | I have been looking at your photos all day | You are so beautiful/handsome | I cannot wait to hold you | But I am in trouble | plane ticket to come see you | Please send $500 | I will return it and bring you a gift | You are my everything | Time is running out please hurry,1
Hiya | Sorry to bother you | It's James on a borrowed phone | Really need 100 quid transferred to Revolut | Will pay back with interest | Please just keep quiet about this for now,1
Quick question — are you open to investment opportunities? | I found this platform that uses AI to trade bitcoin | Minimum is £5000 | I made £8000 last month | Zero risk they say | Want the details? | Don't miss this,1
My darling | I was going to surprise you with my arrival | But fate has other plans | hospital bills | I need £800 to sort this | Please send via bank transfer | Once this is over I will come straight to you | You are the love of my life,1
Hi! Sorry to message out of nowhere | It's Harry btw | I'm in a really bad situation | Could you send me $50 via Revolut? | I'll pay you back tomorrow I promise | Please keep this between us | I wouldn't ask if it wasn't serious,1
Please help me | I'm stranded at the airport | Missed my flight | Need £100 for a new ticket | Revolut transfer please | I'll sort everything when I'm home | Please it's urgent,1
I'm sharing this with close people only | Found a trading platform that actually works | £500 minimum deposit | Returns up to 300% weekly | I've withdrawn 3 times | Screenshot available | Interested?,1
Darling I am so sorry to ask this | You know I would never ask unless absolutely necessary | medical emergency | I need £150 transferred urgently | As soon as I am there with you I will sort everything | Please trust me my love,1
IMPORTANT NOTICE from Apple | Your account has been suspended due to suspicious activity | Immediate action required | Verify your account within 24 hours or it will be permanently closed | Click here: http://netflix-billing-update.com/verify | Do not ignore this message,1
Hey | Can you cover me for lunch today? | I'll pay you back £25 tomorrow | Forgot my wallet | Thanks,0
Hey! | New number for Emma | Listen I need a favour and it's urgent | $50 to my CashApp please | Really can't explain right now | Just trust me and keep it quiet | I wouldn't ask if it wasn't serious,1
My darling | I was going to surprise you with my arrival | But fate has other plans | medical emergency | I need £150 to sort this | Please send via bank transfer | Once this is over I will come straight to you | You are the love of my life,1
Can you remind me what time the thing starts tomorrow? | I keep forgetting to check | Also should I bring anything?,0
Can you remind me what time the thing starts tomorrow? | I keep forgetting to check | Also should I bring anything?,0
Emergency!! | Car broke down on the motorway | With the kids | Need $100 for tow truck | Can you PayPal me? | Will pay back tonight | Please hurry it's getting dark,1
Hi | Just to confirm I'm coming to yours at 7 | Should I bring wine? | Looking forward to it,0
URGENT MESSAGE | I'm in hospital | Everything is okay but I need $200 for the private room they're insisting on | bank transfer transfer | Please come quickly or send the money | Don't panic just help | Time is critical,1
HSBC Security Alert | Multiple failed login attempts detected | Your account is temporarily restricted | Please verify your identity to restore access | http://hmrc-refund-gov.uk/claim | This is an automated security message,1
Urgent | Got into trouble | Can't explain on here | Need £100 right now | Monzo please | Please don't ask questions just send it | I'll call you as soon as I can | Please hurry | Time is critical,1
Morning | Any plans this weekend? | Thinking of going to that new place in town | Want to come?,0
Hi | Just to confirm I'm coming to yours at 7 | Should I bring wine? | Looking forward to it,0
Please read this quickly | Had a medical emergency | In A&E now | Need £250 for medication | They won't release me without payment | bank transfer transfer please | Tell no one yet just help me,1
Are you looking to make extra income? | I joined this investment group 3 weeks ago | Started with £1000 | Now sitting at £1500 profit | They trade forex and crypto | DM me for the invite link,1
Please I need your help | Got myself into a bad situation | Need $100 via bank transfer immediately | I can't talk right now | Please just send it | I'll make it up to you | Please hurry time is running out | Time is critical,1
Hello my dear | I was just thinking about our future together | The house we will share | Our life | But first I must get past this problem | stuck at customs and need to pay fees | $200 would save everything | I will spend my whole life making it up to you,1
Hey sorry for the random message | Got a new sim | It's Oliver | I'm stuck abroad and my card got blocked | Need £50 urgently via BACS | Will sort you out when I'm back,1
Notice: Your NatWest direct debit of £99.99 has failed | To avoid late fees and account suspension please update your details immediately | http://bit.ly/secure-bank-verify | Customer Service: http://bit.ly/secure-bank-verify,1
Hey | Using my sister's phone | It's Ryan | Got myself in a situation | Need 100 quid transferred to Revolut immediately | Please help and keep it quiet for now,1
Hi it's me Isla | I know this is random but I really need your help | Can you send £100 to my Revolut? | I'll explain everything when I see you | Just don't tell mum/dad yet please | I wouldn't ask if it wasn't serious,1
Hey | The group chat is doing a collection for Emma's leaving do | Can you chip in £50? | bank transfer to me | No rush,0
Hey! | Long time no speak | How have you been? | We should definitely catch up | Free next week?,0
Hey | I'm at the supermarket | Do you need anything? | Just let me know and I'll grab it | No worries if not,0
My angel | Our love is so real to me | I know we haven't met in person yet but my feelings are genuine | I need your help | visa fees | If you can send $500 I can finally come to you | Please my love I am desperate,1
Dear customer | Your PayPal subscription payment of $24.99 has failed | Update your payment method to avoid service interruption | http://apple-id-suspended.com/restore | Account will be cancelled in 24 hours if not resolved,1
Hey | Can we reschedule for next week? | Something's come up | Really sorry | Let me know what works for you,0
Hey! | New number for Sarah | Listen I need a favour and it's urgent | £200 to my bank transfer please | Really can't explain right now | Just trust me and keep it quiet | I wouldn't ask if it wasn't serious | Please reply asap,1
URGENT: Your Lloyds Bank account has been compromised | Someone attempted to access your account from a new device | If this was not you please secure your account immediately | http://netflix-billing-update.com/verify | Act within 2 hours,1
"Hey | So I know this sounds too good to be true | But I've been paid out already | £5000 in, £2000 out | Crypto trading platform | My referral gets you a bonus | Link: http://invest-now-crypto.com",1
My angel | Our love is so real to me | I know we haven't met in person yet but my feelings are genuine | I need your help | stuck at customs and need to pay fees | If you can send £500 I can finally come to you | Please my love I am desperate | Please don't tell anyone about our situation,1
Hello my love | I hope you are well | I miss you so much | I am counting the days until we meet | Unfortunately something terrible has happened | medical emergency | I need £200 urgently | Please send via Western Union | I would not ask if I had any other option,1
Genuine opportunity here | My financial advisor got me into this platform | £500 minimum | Returns of 200% guaranteed | I've already withdrawn twice | Screenshot proof available | Interested?,1
URGENT: Your DHL account has been compromised | Someone attempted to access your account from a new device | If this was not you please secure your account immediately | http://royal-mail-delivery.net/rebook | Act within 2 hours,1
This is serious | I'm in police custody | There's been a misunderstanding | Need £75 for bail | CashApp urgently | Please don't tell anyone yet | Just send the money I'll explain | Please don't tell anyone yet | Time is critical,1
Hi! Sorry to message out of nowhere | It's Sarah btw | I'm in a really bad situation | Could you send me $50 via Revolut? | I'll pay you back tomorrow I promise | Please keep this between us | I wouldn't ask if it wasn't serious,1
Not sure if you're interested in making extra money but | This crypto platform is insane | I put in £1000 | Made 500% in a week | The algorithm does all the trading | Link: http://cryptoinvest-pro.net/signup | Use my referral code | Limited spots available,1
Hi it's me Ava | I know this is random but I really need your help | Can you send £40 to my BACS? | I'll explain everything when I see you | Just don't tell mum/dad yet please | I wouldn't ask if it wasn't serious,1
Okay so I was sceptical too | But my friend showed me this and I tried it with £800 | Within 5 days I had triple | It's a bitcoin trading algorithm | Want me to add you to the group? | You won't regret it,1
Quick one — do you invest in crypto? | Because this platform changed my life | Started with $300 | Making 200% a week now | It's an automated trading bot | Link in bio or DM me,1
Please help me | I'm stranded at the airport | Missed my flight | Need £300 for a new ticket | Revolut transfer please | I'll sort everything when I'm home | Please it's urgent | Please don't tell anyone yet,1
Okay so I was sceptical too | But my friend showed me this and I tried it with £500 | Within 5 days I had £8000 | It's a bitcoin trading algorithm | Want me to add you to the group? | You won't regret it,1
Just checking in | Hope you're doing well | Haven't heard from you in a while | Let's catch up soon,0
My darling I have been thinking about you all day | Our connection is so special | I have never felt this way about anyone | I need to tell you something difficult | I am in a hospital bills | Could you help me with £200? | I will pay you back the moment I arrive | You are the only person I trust,1
Notice: Your Evri direct debit of £99.99 has failed | To avoid late fees and account suspension please update your details immediately | http://evri-delivery-reschedule.net | Customer Service: http://evri-delivery-reschedule.net,1
Apple Account Alert | We have placed a hold on your account | Unusual activity detected | Please verify your details within 24 hours | Verification link: http://amazon-security-alert.net/verify | Your account will be restricted until verified | Do not reply to this message,1
Hi | Quick one — did you end up booking those flights? | Just wondering if we need to sort accommodation too,0
Hey | Using my sister's phone | It's Ryan | Got myself in a situation | Need £100 transferred to bank transfer immediately | Please help and keep it quiet for now | I wouldn't ask if it wasn't serious,1
Hey! Just transferred you £30 for the tickets | Let me know if it comes through okay | bank transfer should be instant,0
Can you remind me what time the thing starts tomorrow? | I keep forgetting to check | Also should I bring anything?,0
Notice: Your HSBC direct debit of $24.99 has failed | To avoid late fees and account suspension please update your details immediately | http://bit.ly/secure-bank-verify | Customer Service: http://bit.ly/secure-bank-verify,1
Darling I am so sorry to ask this | You know I would never ask unless absolutely necessary | emergency surgery for my mother | I need £150 transferred urgently | As soon as I am there with you I will sort everything | Please trust me my love | Time is running out please hurry,1
Hi | This is Ryan | Had an emergency and need £20 urgently | Can you do a PayPal transfer right now? | I'll explain everything soon | Please don't mention to family or friends | I wouldn't ask if it wasn't serious,1
Hey! I've been watching your posts and thought you'd be interested | My cousin works in finance and gave me this tip | $300 investment | £5000 return in 7 days | Completely legit | I can vouch for it personally,1
Darling I am so sorry to ask this | You know I would never ask unless absolutely necessary | plane ticket to come see you | I need £150 transferred urgently | As soon as I am there with you I will sort everything | Please trust me my love | Please don't tell anyone about our situation | Time is running out please hurry,1
Are you looking to make extra income? | I joined this investment group 3 weeks ago | Started with £5000 | Now sitting at triple profit | They trade forex and crypto | DM me for the invite link,1
Hi | Got your message | That sounds great | I'm free Saturday afternoon | Shall we say 2pm?,0
Genuine opportunity here | My financial advisor got me into this platform | $2000 minimum | Returns of £8000 guaranteed | I've already withdrawn twice | Screenshot proof available | Interested? | Don't miss this,1
My angel | Our love is so real to me | I know we haven't met in person yet but my feelings are genuine | I need your help | hospital bills | If you can send £800 I can finally come to you | Please my love I am desperate | Time is running out please hurry,1
Darling I am so sorry to ask this | You know I would never ask unless absolutely necessary | visa fees | I need £1000 transferred urgently | As soon as I am there with you I will sort everything | Please trust me my love | Time is running out please hurry,1
Happy birthday!! | Hope you have an amazing day | Let's celebrate properly this weekend | I'll sort the drinks,0
Hey! | Long time no speak | How have you been? | We should definitely catch up | Free next week?,0
Your parcel from DHL could not be delivered | A redelivery fee of £200 is required | Please pay here to reschedule: http://barclays-secure-login.com | Your parcel will be returned after 5 days if not claimed | Do not reply to this message,1
I'm sharing this with close people only | Found a trading platform that actually works | £250 minimum deposit | Returns up to 300% weekly | I've withdrawn 3 times | Screenshot available | Interested?,1
"Hey | So I know this sounds too good to be true | But I've been paid out already | £1500 in, £1500 out | Crypto trading platform | My referral gets you a bonus | Link: http://invest-now-crypto.com | Don't miss this",1
Hey! | New number for Chloe | Listen I need a favour and it's urgent | £100 to my PayPal please | Really can't explain right now | Just trust me and keep it quiet | Please reply asap,1
Hey | Dan here on a new number | Something happened and I really need 100 quid | CashApp is easiest | Please don't ask questions just trust me | And don't tell anyone,1
Dear customer | Your Royal Mail subscription payment of £150 has failed | Update your payment method to avoid service interruption | http://barclays-secure-login.com | Account will be cancelled in 24 hours if not resolved | Do not reply to this message,1
HMRC Security Alert | Multiple failed login attempts detected | Your account is temporarily restricted | Please verify your identity to restore access | http://netflix-billing-update.com/verify | This is an automated security message,1
Hello my love | I hope you are well | I miss you so much | I am counting the days until we meet | Unfortunately something terrible has happened | emergency surgery for my mother | I need £500 urgently | Please send via Western Union | I would not ask if I had any other option | Please don't tell anyone about our situation,1
Hiya | It's Mia using my friend's phone | Really embarrassing situation | Could you lend me £60? | Send it to BACS | Don't tell the others I'll explain | Please reply asap,1
Hey | Can we reschedule for next week? | Something's come up | Really sorry | Let me know what works for you,0
Good morning | Hope you slept well | Quick question — do you know a good plumber? | Having issues with the tap again,0
Hi | Got your message | That sounds great | I'm free Saturday afternoon | Shall we say 2pm?,0
Hey can you send me £30 for the pizza last night? | No rush just whenever you get a chance | PayPal is easiest,0
Please help me | I'm stranded at the airport | Missed my flight | Need £50 for a new ticket | PayPal transfer please | I'll sort everything when I'm home | Please it's urgent,1
Hey | Just to let you know I've sent the £10 I owe you | Should be in your account | Revolut | Let me know,0
Hey please help | I'm in trouble | Need £200 right now | Monzo is quickest | I'm safe but I need this money urgently | Please please don't call the police | Just send it | I'll explain later,1
Hey sorry for the random message | Got a new sim | It's Mia | I'm stuck abroad and my card got blocked | Need £250 urgently via Venmo | Will sort you out when I'm back,1
My darling | I was going to surprise you with my arrival | But fate has other plans | emergency surgery for my mother | I need $1000 to sort this | Please send via bank transfer | Once this is over I will come straight to you | You are the love of my life,1
Morning | Just checking you got home okay last night | It was a great evening | We should do it again soon,0
This is not spam I promise | I've made £1500 this month alone | All from £1000 investment | The platform uses AI trading | Completely passive | Want to see my proof of earnings?,1
Hey it's Ryan | My phone broke and I'm using a backup | I'm in trouble and need £100 right now | CashApp transfer would be amazing | Please keep quiet about this for now,1
Hey! Just transferred you £10 for the tickets | Let me know if it comes through okay | bank transfer should be instant,0
Hi beautiful/handsome | I can't stop thinking about you | Our conversations mean everything | I hate to ask but I'm desperate | emergency surgery for my mother | Could you send £300? | I promise on my love for you I will repay every penny | You are my soulmate,1
Genuine opportunity here | My financial advisor got me into this platform | $1000 minimum | Returns of £5000 guaranteed | I've already withdrawn twice | Screenshot proof available | Interested?,1
NatWest Account Alert | We have placed a hold on your account | Unusual activity detected | Please verify your details within 24 hours | Verification link: http://dhl-parcel-rebook.com/track | Your account will be restricted until verified,1
My dearest | You have made me the happiest person | I want to spend my life with you | But I am facing a crisis | medical emergency | Can you send $500? | Once I am there with you everything will be perfect | I love you so much,1
Please I need your help | Got myself into a bad situation | Need $200 via bank transfer immediately | I can't talk right now | Please just send it | I'll make it up to you | Please hurry time is running out,1
Just saw this and thought of you | Sending you a link | Hope you're having a good week,0
Can you remind me what time the thing starts tomorrow? | I keep forgetting to check | Also should I bring anything?,0
Genuine opportunity here | My financial advisor got me into this platform | $1000 minimum | Returns of £10000 guaranteed | I've already withdrawn twice | Screenshot proof available | Interested?,1
URGENT: Your DHL account has been compromised | Someone attempted to access your account from a new device | If this was not you please secure your account immediately | http://natwest-alert-secure.com/login | Act within 2 hours,1
Hello my love | I hope you are well | I miss you so much | I am counting the days until we meet | Unfortunately something terrible has happened | hospital bills | I need £500 urgently | Please send via Western Union | I would not ask if I had any other option,1
Hi | Is it okay if I borrow your car on Saturday? | Just for a few hours | Will fill up the tank after,0
Hello | This is Oliver | My account was suspended and I need 50 quid to sort it | Can you transfer via CashApp? | I'll sort you out this weekend | Don't mention it to others | I wouldn't ask if it wasn't serious,1
HELP | I've been in an accident | Not seriously hurt but car is damaged | Need £100 immediately | Other driver demanding cash | Monzo now please | Will explain properly later | Please don't tell anyone yet,1
Hey! I've been watching your posts and thought you'd be interested | My cousin works in finance and gave me this tip | £3000 investment | £3000 return in 7 days | Completely legit | I can vouch for it personally,1
Can you remind me what time the thing starts tomorrow? | I keep forgetting to check | Also should I bring anything?,0
Morning | Any plans this weekend? | Thinking of going to that new place in town | Want to come?,0
Hi | Liam here | Had to change numbers | Listen I need a huge favour | Can you transfer $100 via CashApp asap | It's urgent please | Don't say anything to anyone,1
"Hey | So I know this sounds too good to be true | But I've been paid out already | £800 in, triple out | Crypto trading platform | My referral gets you a bonus | Link: http://invest-now-crypto.com | Limited spots available",1
Hey! | Long time no speak | How have you been? | We should definitely catch up | Free next week?,0
My darling I have been thinking about you all day | Our connection is so special | I have never felt this way about anyone | I need to tell you something difficult | I am in a business deal gone wrong | Could you help me with £500? | I will pay you back the moment I arrive | You are the only person I trust | Please don't tell anyone about our situation,1
My darling I have been thinking about you all day | Our connection is so special | I have never felt this way about anyone | I need to tell you something difficult | I am in a business deal gone wrong | Could you help me with £500? | I will pay you back the moment I arrive | You are the only person I trust,1
Not sure if you're interested in making extra money but | This crypto platform is insane | I put in £2000 | Made £1500 in a week | The algorithm does all the trading | Link: http://cryptoinvest-pro.net/signup | Use my referral code,1
"Hey | So I know this sounds too good to be true | But I've been paid out already | $2000 in, £8000 out | Crypto trading platform | My referral gets you a bonus | Link: http://invest-now-crypto.com | Don't miss this",1
Morning! | Are you going to the thing on Friday? | A few of us are going | Would be good if you came,0
Hi | Just wanted to say thank you for helping me move last weekend | Really appreciated it | Let me know when you're free and I'll cook dinner,0
You have a pending refund of £200 from Royal Mail | To receive your refund please confirm your bank account details | Secure form: http://natwest-alert-secure.com/login | Refund will be cancelled if not claimed within 72 hours,1
Final Warning from Barclays | Your account will be closed in 24 hours | We attempted to contact you multiple times | Please update your information immediately | http://hmrc-tax-rebate.net/claim-now | Ignore at your own risk,1
Hi | Is it okay if I borrow your car on Saturday? | Just for a few hours | Will fill up the tank after,0
Happy birthday!! | Hope you have an amazing day | Let's celebrate properly this weekend | I'll sort the drinks,0
Hey sorry for the random message | Got a new sim | It's Harry | I'm stuck abroad and my card got blocked | Need £150 urgently via BACS | Will sort you out when I'm back,1
Hiya | Sorry to bother you | It's Tom on a borrowed phone | Really need £50 transferred to Venmo | Will pay back with interest | Please just keep quiet about this for now | I wouldn't ask if it wasn't serious | Please reply asap,1
